v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[kN]	[kNm]
0.000	0.000	0.178304	0.091910	0.000051	9.999999	9.999999	0.01	0.01	8.00 !	0.00	2400	317.56	7.219	1.2635
0.050	0.016	0.167315	0.071511	0.084741	9.999999	9.999999	11.70	13.89	30.00 !	4.27	2400	247.08	6.774	0.9831
0.100	0.032	0.173967	0.094697	0.160226	9.999999	9.999999	18.37	25.29	11.00 !	8.53	2400	327.19	7.043	1.3018
0.150	0.048	0.162785	0.098752	0.238332	9.999999	9.999999	24.73	36.21	8.00 !	12.80	2400	341.20	6.590	1.3576
0.200	0.064	0.159355	0.099986	0.316987	9.999999	9.999999	31.88	45.15	5.00 !	17.07	2400	345.46	6.451	1.3745
0.250	0.080	0.155037	0.100762	0.395622	6.316781	9.999999	38.47	52.90	3.00 !	21.34	2400	348.14	6.277	1.3852
0.300	0.095	0.148294	0.099852	0.475609	4.195856	9.417450	44.55	59.82	0.00	25.60	2400	345.00	6.004	1.3727
0.350	0.111	0.142826	0.099676	0.555073	2.969013	5.920052	50.15	65.61	0.00	29.87	2400	344.39	5.782	1.3703
0.400	0.127	0.136704	0.098986	0.635250	2.175716	3.938546	55.24	70.62	0.00	34.14	2400	342.01	5.534	1.3608
0.450	0.143	0.129983	0.097733	0.716480	1.634566	2.731150	59.85	74.97	0.00	38.40	2400	337.68	5.262	1.3436
0.500	0.159	0.122628	0.095833	0.799221	1.249079	1.952291	63.98	78.74	0.00	42.67	2400	331.11	4.965	1.3175
0.550	0.175	0.114453	0.093102	0.884242	0.963475	1.424981	67.61	82.06	0.00	46.94	2400	321.68	4.634	1.2799
0.600	0.191	0.105560	0.089449	0.972381	0.746684	1.054532	70.81	84.97	0.00	51.21	2400	309.05	4.274	1.2297
0.650	0.207	0.096401	0.085122	1.063911	0.581025	0.789295	73.61	87.50	0.00	55.47	2400	294.10	3.903	1.1702
0.700	0.223	0.086982	0.080098	1.159774	0.452036	0.594661	76.02	89.68	0.00	59.74	2400	276.75	3.521	1.1011
0.750	0.239	0.077335	0.074353	1.261250	0.350100	0.448804	78.01	91.59	0.00	64.01	2400	256.90	3.131	1.0222
0.800	0.255	0.067598	0.067950	1.369786	0.268965	0.337953	79.59	93.23	0.00	68.28	2400	234.77	2.737	0.9341
0.850	0.271	0.057611	0.060753	1.488349	0.203052	0.251915	80.60	94.67	0.00	72.54	2400	209.91	2.332	0.8352
0.900	0.286	0.047430	0.052773	1.620916	0.149111	0.184341	80.89	95.94	0.00	76.81	2400	182.34	1.920	0.7255
0.950	0.302	0.037040	0.043962	1.774630	0.104511	0.130571	80.04	97.05	0.00	81.08	2400	151.89	1.500	0.6044
0.960	0.306	0.034940	0.042101	1.808891	0.096544	0.121177	79.67	97.26	0.00	81.93	2400	145.46	1.415	0.5788
0.970	0.309	0.032828	0.040201	1.844697	0.088845	0.112165	79.21	97.46	0.00	82.78	2400	138.90	1.329	0.5527
0.980	0.312	0.030713	0.038272	1.882131	0.081436	0.103548	78.65	97.65	0.00	83.64	2400	132.23	1.243	0.5261
0.990	0.315	0.028589	0.036306	1.921498	0.074278	0.095282	77.96	97.85	0.00	84.49	2400	125.44	1.157	0.4991
1.000	0.318	0.026457	0.034306	1.963030	0.067372	0.087359	77.12	98.03	0.00	85.34	2400	118.53	1.071	0.4716
1.010	0.321	0.024314	0.032267	2.007109	0.060694	0.079750	76.11	98.22	0.00	86.20	2400	111.48	0.984	0.4436
1.020	0.325	0.022170	0.030199	2.054008	0.054262	0.072465	74.88	98.40	0.00	87.05	2400	104.34	0.898	0.4152
1.030	0.328	0.020016	0.028094	2.104336	0.048044	0.065470	73.38	98.57	0.00	87.90	2400	97.07	0.810	0.3862
1.040	0.331	0.017854	0.025952	2.158732	0.042034	0.058751	71.55	98.74	0.00	88.76	2400	89.67	0.723	0.3568
1.050	0.334	0.015684	0.023774	2.218033	0.036225	0.052297	69.27	98.91	0.00	89.61	2400	82.14	0.635	0.3268
1.060	0.337	0.013508	0.021562	2.283320	0.030614	0.046102	66.41	99.07	0.00	90.46	2400	74.50	0.547	0.2964
1.070	0.341	0.011328	0.019316	2.356132	0.025195	0.040152	62.75	99.23	0.00	91.32	2400	66.74	0.459	0.2655
1.080	0.344	0.009131	0.017025	2.438961	0.019935	0.034416	57.92	99.39	0.00	92.17	2400	58.82	0.370	0.2341
1.090	0.347	0.006940	0.014710	2.534554	0.014875	0.028926	51.42	99.54	0.00	93.02	2400	50.83	0.281	0.2022
1.100	0.350	0.004743	0.012360	2.648448	0.009981	0.023647	42.21	99.69	0.00	93.88	2400	42.70	0.192	0.1699
1.110	0.353	0.002495	0.009925	2.792403	0.005157	0.018480	27.90	99.84	0.00	94.73	2400	34.29	0.101	0.1364
1.120	0.357	0.000244	0.007455	2.983501	0.000495	0.013513	3.66	99.98	0.00	95.59	2400	25.76	0.010	0.1025
1.130	0.360	-0.001995	0.004969	3.264548	-0.003979	0.008770	0.00	99.99	0.00	96.44	2400	17.17	-0.081	0.0683
1.140	0.363	-0.004259	0.002424	3.801977	-0.008345	0.004166	0.00	99.99	0.00	97.29	2400	8.37	-0.172	0.0333
1.150	0.366	-0.006562	-0.000196	6.341887	-0.012635	-0.000328	0.03	53.11	0.00	98.15	2400	-0.68	-0.266	-0.0027
