v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[MW]	[kN]	[kNm]
0.000	0.000	0.017883	0.547507	0.000035	9.999999	9.999999	0.00	0.03	98.00 !	0.00	2400	1.892	0.7240	7.527
0.100	0.032	0.007801	0.149363	0.146269	1.986475	9.999999	0.52	73.24	98.00	8.53	2400	0.516	0.3158	2.053
0.200	0.064	0.011580	0.176462	0.282944	0.737180	9.999999	1.31	86.15	98.00	17.07	2400	0.610	0.4688	2.426
0.300	0.095	0.014562	0.194157	0.416381	0.412017	9.999999	2.25	91.22	98.00	25.60	2400	0.671	0.5895	2.669
0.400	0.127	0.016992	0.209729	0.546674	0.270433	8.344837	3.24	93.82	98.00	34.14	2400	0.725	0.6879	2.883
0.500	0.159	0.018888	0.224764	0.673945	0.192390	4.578854	4.20	95.37	98.00	42.67	2400	0.777	0.7647	3.090
0.600	0.191	0.020457	0.240004	0.798192	0.144700	2.829468	5.11	96.37	98.00	51.21	2400	0.829	0.8282	3.299
0.700	0.223	0.021658	0.255920	0.919342	0.112555	1.899987	5.92	97.06	98.00	59.74	2400	0.884	0.8768	3.518
0.800	0.255	0.022572	0.272429	1.037622	0.089809	1.354951	6.63	97.57	97.00	68.28	2400	0.941	0.9138	3.745
0.900	0.286	0.023233	0.290892	1.152116	0.073041	1.016119	7.19	97.94	97.00	76.81	2400	1.005	0.9406	3.999
1.000	0.318	0.024026	0.310143	1.263827	0.061182	0.789772	7.75	98.21	97.00	85.34	2400	1.072	0.9727	4.264
1.100	0.350	0.024250	0.330206	1.372890	0.051035	0.631752	8.08	98.45	95.00	93.88	2400	1.141	0.9817	4.539
1.200	0.382	0.024633	0.351351	1.479220	0.043561	0.517772	8.41	98.62	95.00	102.41	2400	1.214	0.9973	4.830
1.300	0.414	0.025072	0.373778	1.582780	0.037779	0.433235	8.72	98.75	95.00	110.95	2400	1.291	1.0150	5.138
1.400	0.446	0.025349	0.397427	1.683746	0.032934	0.368819	8.93	98.87	95.00	119.48	2400	1.373	1.0262	5.464
1.500	0.477	0.025929	0.422181	1.782344	0.029346	0.318540	9.21	98.94	92.00	128.02	2400	1.459	1.0497	5.804
1.600	0.509	0.026214	0.448281	1.878494	0.026075	0.278696	9.36	99.02	92.00	136.55	2400	1.549	1.0612	6.163
1.700	0.541	0.026932	0.475585	1.972437	0.023731	0.246503	9.63	99.07	92.00	145.08	2400	1.643	1.0903	6.538
1.800	0.573	0.027650	0.504501	2.063955	0.021732	0.220285	9.87	99.11	90.00	153.62	2400	1.743	1.1194	6.936
1.900	0.605	0.028147	0.534684	2.153447	0.019855	0.198507	10.00	99.15	90.00	162.15	2400	1.847	1.1395	7.351
2.000	0.637	0.029352	0.566362	2.240842	0.018686	0.180279	10.37	99.16	90.00	170.69	2400	1.957	1.1883	7.786
