r/R	c/R	β	H/D	r	c	H	t	Airfoil
[-]	[-]	[°]	[-]	[mm]	[mm]	[mm]	[mm]	[-]
0.0000	Spinner	-	-	-	-	-	-	-
0.0500	Spinner	-	-	-	-	-	-	-
0.1000	Spinner	-	-	-	-	-	-	-
0.1500	0.1523	71.1	1.4	160.0	162.5	2931.5	14.4	interpolated
0.2000	0.1625	63.5	1.3	213.4	173.3	2690.8	15.4	interpolated
0.2500	0.1702	56.8	1.2	266.7	181.6	2562.9	16.1	interpolated
0.3000	0.1746	51.0	1.2	320.0	186.3	2479.4	16.5	interpolated
0.3500	0.1758	45.8	1.1	373.4	187.6	2416.5	16.6	ARA D 6%, Re=100,000
0.4000	0.1744	41.4	1.1	426.7	186.0	2364.5	16.5	interpolated
0.4500	0.1710	37.5	1.1	480.1	182.5	2318.6	16.2	interpolated
0.5000	0.1664	34.2	1.1	533.4	177.5	2276.1	15.7	interpolated
0.5500	0.1608	31.2	1.0	586.7	171.6	2235.7	15.2	interpolated
0.6000	0.1548	28.6	1.0	640.1	165.1	2196.4	14.6	interpolated
0.6500	0.1485	26.3	1.0	693.4	158.4	2157.9	14.0	ARA D 6%, Re=100,000
0.7000	0.1420	24.3	1.0	746.8	151.5	2119.9	13.4	interpolated
0.7500	0.1355	22.5	1.0	800.1	144.5	2082.0	12.8	interpolated
0.8000	0.1289	20.9	1.0	853.4	137.5	2044.3	12.2	interpolated
0.8500	0.1223	19.4	0.9	906.8	130.4	2006.6	11.6	interpolated
0.9000	0.1154	18.1	0.9	960.1	123.1	1968.8	10.9	interpolated
0.9500	0.1080	16.9	0.9	1013.5	115.2	1931.0	10.2	interpolated
1.0000	0.1003	15.8	0.9	1066.8	107.0	1893.2	9.5	ARA D 6%, Re=100,000
